userName,Review,Rating
Bill Ewing,I respect the need to protect others. The form and flow of info needed was well organized,5
Angie McPherson,Totally pointless and redundant. The Canadian government is a joke,1
Sharing Richness,excellent app,5
Chenoa Locke,confusing,3
Max Kosyakov,Forget password link on the main login screen doesn't work. Error messages are confusing,3
M R,Doesn't work,1
Brando Quiring,"It works fine, but it is entirely unnecessary at this point.",1
Cherie Binns,this is a cumbersome app. I have had to enter and re-enter data repeatedly over the last 2 weeks and when I return to the app it has not been saved despite clicking on the save button. very frustrating,2
Jack Yeung,cool,5
Franklin Hilary Ezenwa,very simple to use 👌 . straightforward navigations too,5
Jan Bode whalen,easy to use,5
Maurie Sheppard,it is not user friendly and being polite I can't tell you what I think of it!,1
Pauline Dingle,A bit confusing!,4
Guy James,Good,4
Gregory Harju,very good.,5
David Campbell,fast and easy.,5
Mary White,ok,4
Janet Null,Easy to full out.,5
Matus Carnogursky,What an idiocy :-(,1
Christie Prout,"not too hard to do, just scan passport and vaccine card to get qr code",5
Stevan,you are the government you literally have all of this information,1
Lindiwe Kunene,I had a food experience filling the form.,5
keith reaume,"GET RID OF THIS!!! Stop killing the tourism industry and stop saying its to keep canadians safe because it doesn't, covid is here and new variants will arrive here too with or without this app. Unfortunately covid is here to stay just like the common cold is.",1
Myriam N.,super simple !,5
Karthik,Great App,5
Nathan,This is a great app. But the problem I had is that I could select all calendar dates and I couldn't go to the next calendar month,4
Ross Macdonald,ridiculous that you need this at all,1
paolo fessia,horrible yo fill in asking dates of 1st vaccination that are useless time entrance working horribly really badly conceived,1
Melania Karpinska,"Just tried to create an account. Latest app version downloaded. Got passed the verification code and typed it in, but before advancing to next screen I was kicked out back to submmiting e-mail again, when I did, it showed a message ""the account already exists"" and wouldn't allow me to continue. Since it wasn't verified, I can't log in either. This app is poorly designed and flawed with programing issues. Thid app is imposed mandatory on travlers yet it's unreliable or outright not functioning.",1
Guy Beauvais,Smooth and Simple,5
Kris,"The app does not work. You can't create an account. As per CBS review responses I typed out the email etc and had the same experience when veryfing account creation, ""Please check that the email address and password you entered were correct and that your device is connected to the internet"". I tried two different emails, received the verification codes in my emails, but wouldn't verify. Uninstalled and installed, doesn't work. Broken system/app imposed on us and expected we adhere to it, how?",1
Uwe,"Great way to get this stuff done and out of the way ahead of time, bot difficult at all !!!",5
Philipp Volguine,I cant believe theyre making us do this stupid stuff,1
P B,Time for a new PM Canadians,1
Lorne Keith,easy form to fill in.,4
Alan Woolf,"Frustrating. I completed half my ArriveCan on line entry. Then came a prompt:""Add another traveller. I should have ignored this, but did not. Instead , I added my wife. Then, going forward, my wifes information was all entered, accepted right up to receipt of 2 e-receipts. My wife is cleared for entry. I am not. Every time I so much as call up the arrive Can app, my wife's 2 receipts pop up. I am unable to start up again, neither by creating new account, nor by using my existing account and pass",1
Devon Osmar,I love being forced to use a garbage app that my dear federal government refuses to get rid of 🖕,1
Buck C,unnecessary,1
Mark Joseph Yap,"So check in to airplane requires me to finish the app. I can't provide the app with information about my flight unless I check in. I'm stuck in a horrible infinite regression. Anyway it's meh, pretty straight forward just a pain since so much can change especially with all the delays I could fill it out and so much could change in 24 hours.",3
C.W. van der Ende,make sure all travellers live at same addresd,2
Francisco Fernandez de Castillo,The passport scanner did not work for us. The app should also be able to scan vaccination QR code. Entering information manually is cumbersome.,1
Clive Hadley,could be much simpler,4
Tommy Uy,the form is easy to use!,4
Kevin Ross,"Uninstalling, pos Truditler has more info than the pos needs, should be deported, disgusting pos",1
Android Account,Why have the option to scan passports when it never works??? Why create an account if our info is not even registered??? Why not accepting qr codes as vaccination proofs instead of answering all the questions?,1
Ellen Woods,"Terrible app! I cannot sign on. I changed my password. I uninstalled the app, restarted my phone, re-installed the app. No joy. I sent them an email, but no reply. Frustrating!",1
Parise Saulnier,invasive as hell,1
Allison K,There are no words for how awful my experience was at the airport after the app lost my QR code and the agent (who would have had more personality if he was a robot) was completely unsympathetic. Make a screenshot!! And a printout.,1
Kimberley Tuttle,Nice to fill out forms before arriving at Airport. Even a 60 year old like me could do it. Much appreciated!,5
Cheese and Onions,The idiocy of this app is beyond words,1
Alexandre Dube Corneau,Une honte qui n'aurait jamais dû exister. Honte à notre gouvernement qui nous impose une application pour simplement avoir le droit d'entrer dans notre propre pays. 🤢🤮,1
Tony Sang,Easy to use,5
Matthew Hall,Dumb program,1
Satyanarayana JAMI,very good,5
Brenda Boulet,Very difficult,1
Dryden Brown,authoritarian app needs to know everything about me rather than just covid related items,1
Deborah Payne,several attempts to logon,4
Mathieu Laliberté,complete garbage of an app. I posted a 1 star review and I'm not surprised it didn't publish.,1
Fen-Fen Lin,"I couldn't add my husband as add'l traveller with me. I followed the direction, but it turned out only my husband's name without me! So I was rejected by the border. Tried more than one hour to make it work, but in vain. I ended up created another account for myself in order to get the QR code for myself.",1
Amanda Farley,waste of time,1
David Smocot,awful logical thinking,1
Ken & Gail B,Trudeau is over reaching his authority. This is garbage and not necessary.,1
Konstantin Rabich,"used this for about 4 or 5 trips, and had one incident where it would not recognize my account for unknown reasons. I couldn't log in, which is a little inconvenient when you have to count on the app to travel.",4
Jason Kostiw,government overreach,1
Bala Krishna,good exprience,5
Dotoree Research,thoughtful!,5
rodrigo,trash,1
Rami Sarieddine,"It's July 2022, 2.5 yrs after Covid19 started and Canada still uses this app. The whole world moved on but Canada refuses to. Thank you for all the hassle.",1
Chris,too long,1
Austin Gerber,Gotta love authoritarian regimes! Right everyone? Go Canada :),1
Katerina Ocaskova,it is waist of time and energy,1
Inga Karpenko,"no option of providing a non Canadian address. if I'm going g for a day trip, it's impossible",3
Allan MacDonald,The Trudeau tracker is dumb,1
Tyson Smith,Stupid,1
roy walsh,"My husband who is in Ireland and has been trying to get signed into this app since July 17 has had no success. I am in Canada and I have been trying to sign in so I could tell him it works. It has our email address and password but keeps telling us that it is incorrect. We tried changing the password but it still doesn't work. Frustrating, to say the least. He is travelling back to Canada tomorrow but can't fill out his forms.",1
bcbudsz,annoying that we have to do this just to get home,1
Alexander Sutcliffe,Communist app from the dictator Justin Trudeau. Would not recommend.,1
Matthew Scallon,It's better than most government forms I have dealt with.,3
Alan Chan,"it's better to allow user to upload passport and vaccination information ahead of time, not limited to within 3 days of arrival",4
Sarah Nichol,will not accept arrival time,1
Stephen Choi,Straightforward to use but mysteriously drained my phone battery. Had to uninstall.,3
Mattie,Totalitarianism in an app,1
Chris Bennett,Completely redundant information. The app itself felt like it was slapped together and isn't easy to fill out as the form won't slide down to the next section after completing the former.,1
Gary Winters,make your cruise line gives you the dock of your cities. Some of the cities have more than one options.,4
Imran Selimkhanov,Terrible use experience. Invasive data policy.,1
Jordan Stevens,buggy calendar selection module,1
Henry Wong,"Traveler registration does not work. First few times, it just got stuck in saving traveler details, at a certain percentage, and making no more progress. Later tries ends with upload failure message -- which I guess is better than just being stuck. Decided to just use the website instead.",1
Rita Jurkuvenas,"in my phone Toronto Pearson airport was listed 3 times, but you could not see if you picked cargo, terminal 1 or terminal 3. it should be easier to differentiate between the 3",3
Norbert Virlics,I gave this one star only because I cannot give zero.,1
Ben Murphy,Tired of Trudeau's nonscence dictator app. Waste of my taxpayer money.,1
John Jurkuvenas,no problems,5
Momi Sekhon,I appreciate this process for safeguard of public health. it was easy to complete,5
T R,Irrelevant. Adds completely unnecessary step to travel. Most questions asked were Irrelevant to a border crossing. This should used be an optional way to handle your declaration.. not a mandatory way to bother you later at your house or by phone. Also.... we can all see there are about a million 1 star reviews. The average rating is a farce.,1
Graham M,Be sure to upload a photo of Justin Trudeau wearing blackface as one of your travel documents. I had no issues arriving home from Florida with the uploaded photo.,1
David Murphy,Trudeau sucks,1
Frieda Kehler,Easy to use.,5
Jay Hunt,very unfriendly. The login securìty requirements are terrible.,1
musawar ahmad,thanks so much,5
Andrew Clements,very straight forward.,5
Dennis Zannoni,very efficient,1
Levna Anorico,Great!,5
Tina Marbury,This was very easy to navigate and was quick.,5
Alexandre Cremers,"The app didn't ask for third dose information, which is listed as a requirement on the website. I guess we'll figure this out at the airport...",4
Don Conway,Does not send me a verification code. Tried for several weeks. Uninstalled and reinstalled. No code sent . Nothing in junk. Says account created.,1
Kim Kirsebom,Everything very well explained!,5
Predrag J,Garbage,1
Amy Van Every,Ridiculous,1
William Blurby,very easy and fast. excellent app.,5
Johnathan Bentley,the fact that this is being required is an absolute disgrace,1
Gregory OBrien,Terrible - canada has lost its way,1
david amick,very buggy,3
bill schafer,not clear what address they wanted nor how to enter valid Canadian postal code,2
Bella Chantella,Absolutely embarrassed that this is required for Canadian citizens to enter their own country. Shame on anyone who enforces this app on others. ArriveCan is a disgrace.,1
Lorna Wilson,app doesn't work well when it comes to input arrival date. I tried several times to put my time in but it would not allow me instead giving me am time when I needed pm . found it very frustrating.,2
Kenneth Balla,I clicked Returning Home but I had to put a Canadian address so I made one up. Why are those fields required?,2
Mayank Solanki,Garbage,1
hans lefebvre,I had entered all the info for my family before my trip to make things easier upon my return. Three weeks later all the info was gone and everything had to be re-entered. What a waste of time.,1
Charles Cares,"Nyet, comrade Turd.",1
Son Bui,"I just wanted to give a heads-up for those using rooted phone. This app will close itself once it detects root access. In order to bypass the detection , you would need to search for methods to hide it on YouTube. I was able to hide root access from the app and it worked.",1
Robert Dockery,ArriveCAN is easy to use for the traveler entering into Canada.,5
Bryce Wilson,F*%< Tru deau,1
Empty Channel,"Works great for pictures, upload a little slow",4
Thomas Rual,Retarded,1
David Cumberbatch,easy to use!,5
Melissa B,"The app requires wifi/data. If you do not have this at the boarder, how are you supposed to access it?",1
MrWigglesalot,unless,1
Andrew Cunningham,What a waste of gov't resources and my time.,1
Maryam peyrovani,islamic,1
Tobin Elavathil,scanner did not work,3
Nathan Landberg,Completely unnecessary government overreach!,1
Mo Jamma,"I was not informed of this app to get back home until I was entering Canada. That's a very poor quality of service to a citizen. A higher risk person or someone who didn't have the nessassary documents on hand would be denied assess to their home. This could cause panic and stress, both of which are extremely detrimental to health.",1
Darshak Patel,good supportive app and user friendly,5
Tiny Man Jones,A completely redundant and unnecessary app that inconveniences travelers and officers alike,1
Ron Silva,"Asking for a hard address, while RVing, is not realistic. A general location should be readily available in the app.",3
Crippling Doubt,great,5
Carson Kiyoshk,Stupid stupid stupid. It always says we have to quarantine but we're all fully vaxed and our baby is too young to get vaxed as she's only one and a half. Was told she was exempt. Now I'm getting stupid notifications in my email and on my phone saying to check in with symptoms. STUPID!,1
Michael Zelenika,"such a stupid app, complete waste of time",1
Sarah Anacleto,Easy to use vs filling out the forms.,5
Peter Robinson,Not user friendly A complete waste of time Drop the AP,1
Cathy Rose,Easy and secure!,5
Barbara Perez,"I hit ""save and exit"" When I returned, I had to start from the beginning",4
Alex Revich,it's fine,5
Marko,what a piece of s..... of app,1
Matt Payne,Several confusing errors and issues.,1
JC Denton,"Vaccine passports should be illegal. Health information should be between a doctor and individual, not the government. Stop tracking and restricting citizens. This app is complete and utter garbage",1
Hoda Attia,Violation of our rights. We are humans. We don't need QR codes. No science behind this,1
Hilling Ezack,"the passport photo feature is not fast or accurate, wasting more time than manual entry. COVID vaccine date calendar forms would be better done by drop-down menus, as the data fields reset if you change year. I don't understand why is this redundant set of data is being collected.",1
Jannet Sadikhov,not easy and too hard,4
Brandon S,government overreach at its finest. apparently no restrictions and still these invasive questions and requirements. need to modify questions as the government changes their minds.,1
rkadey,very easy to navigate,5
Malavika Bhat,THOROUGH,5
Nausheen Khan,Easy to use,5
Alex Woho,we pay a fortune in tax to be bothered for no reason,1
Cheryl Cormier Pimental,I dont know the Canadian official name of Victoria port and several port names overlapped in my app.,1
James Crighton,Aweful,1
Paul Compton,"With all documents in hand, the app and data entry was easy and user friendly.",5
Sean Marchbank,easy to use app,5
Mike Kozumplik,this is stupid,1
David Wintrich,bugs in simple data entry controls for date and time entry make using this app an incredibly frustrating experience,1
Edgar Dalrymple,Very hard to use.,1
Terresa Holt,Love this app.,5
Melissa Dedemus,Impossible to use. It asks me to reset my password every single time. I have tried on browser and app countless times. Hoping for the best when I get to the airport.,1
W Salem,This whole procedure is terrible. Enough already.,1
Sergio Henrique Guerra de Sousa,This is a very convenient way to expedite your immigration experience when arriving in Canada. I would just like the passport scanning to be easier to do. I had to manually enter one of the passport details on a family of three.,5
John southern,"THE GOOD GLOBALIST, IS DEAD GLOBALIST.",1
urooj khan,I wana ask something if i enter 2 traveller's information in one app so i will be receive one receipt for both traveller's?? Or i did spraedly for both?? Because its shows this receipt for 1 traveller.. i am confused 😕,3
Aarush Dhawan,feels like an unnecessary process. didnt find out about this until my arrival would have been nice to know this on my flight out.,1
Mike Molenda,canada is worse than China. the app sucks and so does their government,1
Dan & Nancy Andrews,extremely intrusive and unnecessary,1
Jason Easton,This app is full of flaws and provides absolutely no utility to the country. Justin Trudeau is an imbecile,1
Justin Currie,"Always fill out, but they still ask for all your documents at Pearson. Serves 0 purpose other than Trudeau continuing his spiteful attack on Canadians.",1
Vyomesh Tala,"It was super easy to set things up and generate the QR code. Passport scanner was easy to work with but it did not transfer info accurately for one of the passports, so there's a bit of a room for improvement there.",5
Cassidy Ayers,Straightforward and I love the feature to scan my passport to streamline inputting information. I did have some errors in uploading vaccination proof but after a few attempts it worked!,5
Jay Thom,useless info,1
Armando Baez,"clear, concise and easy to understand.",5
Siddique Wali,"There is a problem when entering flight details, flight time not change to PM is remains on AM",4
anatilde da silva,easy,5
Ezekiel Nanna,Easy to use and simply,5
Naaz Cheema,very good,5
shelley derose,too complicated,2
Abhilash P,I prefer the Chinese PPC app for sharing my data with the govt,1
Calvin A Hutchison,this is what incompetent excessive bureaucracy looks like,1
Carl A Coates,"Easy to use, straightforward. The only thing that might help is if the ports of entry from US were organized by state.",5
Sushant Agarwal,"Good, functional app",5
Dean Winger,awesome,5
George Campagne,Garbage,1
Douglas Schramm,Health Canada will show up at your door if you delete after your trip. They are tracking you,1
andrew lotto,just plain stupid,1
Kaye and Andrew Crook,straight forward to use,5
Bernice Bregg,very easy to use,5
Jover A,why ? why do this ? why waste my time ?,1
Maria Paz Mariano,user friendly app,5
Leakhena Nam,It is very helpful 👍 to all .,5
Brenda Barnhardt,Nice knowing will be safe,5
Ian Wetmore,Easy peasy!,5
Sue Sheirer,Easy to use!,5
Renee Mckay,mistaken app,1
Marsalis Turner,They should've had bigger signs,1
patty,it was pretty easy to use. make sure you have all of your information.,5
Wayne Lucas,Make sure you have all documents ready to take photo on you phone. This makes it easy.,5
Tony Bugella,"sweet deal, well done.",5
cody khalil,"all things considered, this app is not too shabby. doesn't make you jump through too many hoops. and it's easy after the first time you do it",4
